instagram post,prompt
"While lots of effort goes into a successful and safe day in the backcountry, we often only see the highlight reel on social media. From digging snow pits to checking the forecast, Osprey athlete @sbrunso and his backcountry partner @grady_j take to our blog today to share some reminders to ensure a safe day off-piste. 📷 by @grady_j  Featured pack from Soelden/Sopris Pro Series #ospreypacks #backcountrysafety","Write an Instagram post highlighting the importance of backcountry safety, featuring Osprey athlete's blog post."
"“My hope is to simply do my best as their mother. I will continue to learn, educate, uplift, support, and progress in the world of racial equality. I want to be an advocate for content of character, not judgement of skin color. We have plenty of tools to face these things as adoptive parents and there is a lot more going on than an outsider often realizes.”
—
Today on the blog, read more about @lisarondo's efforts to embrace diversity at home and celebrate the cultures of her two adopted children, Jax and Remi. 📷 by @kylie.fly  Featured packs from the Jet series #ospreypacks",Write a heartfelt post about embracing diversity and promoting racial equality as an adoptive parent.
"“Forests are like churches, hallowed places. There’s a stillness about them, a sort of reverence.” - Sabrina Elkins 📷 by @amira.silverman  Featured pack from the Talon/Tempest Series #ospreypacks #ospreyambassador #thegooddaysaremade","Write a poetic caption inspired by Sabrina Elkins' quote, highlighting the serene atmosphere of forests."
"“Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach of us more than we can ever learn from books.” - John Lubbock 📷 by @johndavie10  Featured pack from the Kestrel/Kyte Series #ospreypacks","Write a poetic caption highlighting the wisdom of nature, inspired by John Lubbock's quote, featuring stunning outdoor scenery."
"“And then there is the most dangerous risk of all – the risk of spending your life not doing what you want, on the bet you can buy yourself the freedom to do it later.” - Randy Komisar 📷 by @hannelune  Featured pack from the Kamber/Kresta Series #ospreypacks","Write a post inspired by Randy Komisar's quote, featuring a stunning outdoor photo with a pack from the Kamber/Kresta Series."
"As the sun gets ready to set on 2020, we say goodbye and thank you to a year that has challenged us and brought us closer together in unexpected ways. 📷 by @michael_buttz  Featured pack from the Atmos/Aura Series #ospreypacks","Write a heartfelt farewell to 2020, highlighting its challenges and unexpected connections."
"""Feels like we're living inside a snow globe today."" On the days when fresh snow falls outside, pure magic is everywhere. ✨ 📷 by @maddylouu  Featured pack from the Poco Series #ospreypacks","Write a whimsical caption capturing the enchantment of a snowy day, featuring a stunning photo of fresh snowfall."
"For 2021, we’re partnering with @darntoughvermont, @lekiusa, @nemoequipment, @peakrefuel, @sawyerproducts and @vasquefootwear to support a team of @thruhikesyndicate ambassadors. These ambassadors are long-distance hikers heading out on a thru hike in 2021 and are passionate about the benefits of getting outside, sharing their journey with the broader community through photos and words, and are mindful of the impact they have on the land. If this sounds like you or anyone you know, we want to hear from you! Apply to be a 2021 Thru Hike Syndicate ambassador at the link in our bio. 📷 by past #ThruHikeSyndicate ambassadors @wilderness_wandering @brownkids @ashleysadventure #thruhiking #thruhiker",Write an announcement post highlighting a partnership with outdoor brands and calling for thru-hike ambassadors for 2021.
"Tomorrow is the final day to apply to be a @thruhikesyndicate ambassador! If you’re planning on #thruhiking one of America’s long trails in 2021, are interested in sharing your journey with the broader outdoor community, and want to be sponsored with gear from us, @darntoughvermont, @lekiusa, @nemoequipment, @peakrefuel, @sawyerproducts and @vasquefootwear, we want to hear from you! Head to the link in our bio for more information, or to apply to be a 2021 Thru Hike Syndicate ambassador. 📷 by @twerkinthedirt  Featured pack from the Exos/Eja Series #ospreypacks",Write an urgent call-to-action post announcing the final day to apply for @thruhikesyndicate ambassadorship.
"“This was my last day of being on furlough for 9 weeks. @sazzle1984 and I headed up to Talla Damn, picked a big vertical bad boy (there's a lot of them that surround the dam!), and off we climbed/crawled!"" 📷 by @jadey.jaders  Featured pack from the Hikelite Series #ospreypacks","Write a post about a climber's return to work after 9 weeks of furlough, featuring a hike to Talla Dam."
"""Kid, you'll move mountains."" - Dr. Seuss 📷 by @backyardtravelfamily  Featured pack from the Jet Series #ospreypacks",Write an inspirational post highlighting the power of determination and perseverance.
"As we reflect on 2020, our thoughts turn gratefully to each other. During a year of unprecedented change, our connections with one another helped move us forward. Celebrate your friends, your family and yourself this holiday season. We are stronger together.  Shop our 2020 Holiday Gift Guide via the link in our bio today.  #ospreypacks #holidaygiftguide",Write a heartfelt holiday message reflecting on the importance of human connections in 2020.
"“Winter, a lingering season, is a time to gather golden moments, embark upon a sentimental journey, and enjoy every idle hour.” - John Boswell 📷 by @tayloraube  Featured pack from the Aether/Ariel Series #ospreypacks","Write a poetic winter-themed post inspired by John Boswell's quote, featuring Osprey Packs."
"""One of the first lessons I learned while thru-hiking the PCT was planning every detail of a thru-hike was not only impossible, but it took away from the true thru-hiking experience."" Today on the blog, #OspreyAmbassador @_thehungryhiker pulls from personal experience and shares advice on how to get the most out of a thru hike. Read her tips via the link in our bio. 📷 by @_thehungryhiker  Featured pack from the Aether/Aura Series #ospreypacks","Write a post highlighting the importance of flexibility on a thru-hike, featuring a personal anecdote and a link to a blog post with tips."
"''Have you ever really wanted to go do something fun on the weekend, but you feel drained from your work week or the weather outlook is less than ideal?'' 
 
Planning a last minute adventure can be a challenge but #OspreyAmbassador @vincentschnabl shares nine tips to help you get out on your own spontaneous weekend getaways. Check it out via the link in our bio and start planning your next adventure today!",Write a relatable post highlighting the struggle of planning a spontaneous weekend getaway amidst work week exhaustion and unfavorable weather.
"“He said anything worth doing should scare you a little, and that some of the greatest stories began with a journey.” - Mindy Meija 📷 by @thebriiits  Featured pack from the Farpoint/Fairview Series #ospreypacks","Write a post highlighting the thrill of adventure and the power of storytelling, featuring a scenic photo of the Farpoint/Fairview Series pack."
"""The feeling of awe and sense of wonder arises from the recognition of the deep mystery that surrounds us everywhere, and this feeling deepens as our knowledge grows."" - Anagarika Govinda 📷 by @annahill_author  Featured pack from the Poco Series #ospreypacks","Write a poetic Instagram post capturing the essence of Anagarika Govinda's quote, featuring the Poco Series pack."
"“Skis are not just pieces of wood, steel & fiberglass. They are tools for escape, a medium for personal expression, a way to challenge fears, push limits and share incredible experiences with your friends.” - Unknown 📷 by @nicolehandel  Featured pack from the Kamber/Kresta Series #ospreypacks","Write a post highlighting the emotional connection between skiers and their gear, featuring @nicolehandel's photo."
"#OspreyAmbassador @_thehungryhiker has hiked the 2,650 miles of the Pacific Crest Trail twice, so she knows first hand how much preparation (physically and logistically) it takes in the months leading up to a thru hike. Today on the blog, Kathleen breaks how to prepare your body for a long hike, how to plan resupplying along the way, and discusses budgeting for weeks or months on the trail. Head to the link in our bio for more. 📷 by @_thehungryhiker  Featured pack from the Exos/Eja Series #ospreypacks","Write a post announcing Kathleen's latest blog article, highlighting her Pacific Crest Trail experience and sharing tips on preparation, resupply, and budgeting for a thru-hike."
"After a lot of time spent safely near home this past year, we can only imagine a lot of outdoor enthusiasts will be spending as much time outside as possible in the seasons to come. For those considering a long-distance hike in the future, also known as a thru hike, we've enlisted the help #OspreyAmbassador @_thehungryhiker to break down just how to start planning. Today on the blog, check out the link in our bio to read her recommendations for the initial steps to planning the long journey. 📷 by @_thehungryhiker  Featured pack from the Exos/Eja Series #ospreypacks #thruhiking","Write an Instagram post announcing a new blog article on planning a long-distance thru hike, featuring Osprey Ambassador _thehungryhiker."
"""The color of springtime is in the flowers; the color of winter is in the imagination."" - Terri Guillemets 📷 by @vincentschnabl  Featured pack from the Rook/Renn Series #ospreypacks #ospreyambassador #thegooddaysaremade","Write a poetic caption inspired by Terri Guillemets' quote, highlighting the beauty of nature and imagination."
"“There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not man the less, but nature more.” - Lord Byron 📷 by @benjamin_utley  Featured pack from the Aether/Ariel Series #ospreypacks","Write a poetic caption inspired by Lord Byron's quote, highlighting the beauty of nature and solitude."
"As fall turns into winter, big mountain skier Madison Ostergren buckles down to prepare for the upcoming season, both physically and mentally. ""Every season has its perks, but for some reason fall has this way of evoking a particular kind of childlike excitement, something other seasons just can’t awaken within skiers.""

Head to the link in our bio to learn about how @madisonnnrose preps for ski season, including her gym routine and all her favorite gear for the backcountry. 📷 by: @izmottephoto  #ospreypacks","Write a post highlighting Madison Ostergren's winter prep routine, featuring her gym regimen and backcountry gear."
"“What we care for, we will grow to resemble. And what we resemble will hold us, when we are us no longer.” - Richard Powers 📷 by @_goldyyloxx  Featured pack from the Stratos/Sirrus Series #ospreypacks","Write an Instagram post highlighting the quote's message, featuring the Osprey packs, and emphasizing the importance of self-care."
"""Family, nature and health all go together. - Olivia Newton John 📷 by @haileyjterry  Featured pack from the Poco Series #ospreypacks","Create a post highlighting Olivia Newton John's quote on harmony among family, nature, and health."
"""Love is just a word until someone comes along and gives it meaning."" - Paulo Coelho ❤️ 📷 by @capturedbykpphotography, with @libb64 and @kathyjw62  Featured pack from the Skarab/Skimmer and Talon/Tempest Series #ospreypacks","Write a romantic caption inspired by Paulo Coelho's quote, highlighting the beauty of love and adventure."
"“When life places stones in your path, be the water. A persistent drop of water will wear away even the hardest stone.” - Autumn Morning Star 📷 by @gingermanbun  Featured pack from the Atmos/Aura Series #ospreypacks","Write an inspirational post highlighting the power of persistence and resilience, referencing Autumn Morning Star's photo."
"""Advice is like snow – the softer it falls, the longer it dwells upon, and the deeper it sinks into the mind."" - Samuel Taylor Coleridge 📷 by @amira.silverman  Featured pack from the Talon/Tempest Series #ospreypacks #ospreyambassador #thegooddaysaremade","Write an inspirational post featuring a quote by Samuel Taylor Coleridge, paired with a stunning photo of the Talon/Tempest Series pack."
We will forever be thankful for any and every time spent exploring out here. 📷 by @paths.i.take  Featured pack from the Kestrel/Kyte Series #ospreypacks,Write a heartfelt caption capturing the joy of exploration and gratitude for time spent outdoors.
"For some of us, today is an opportunity to indulge in fresh air, a quiet trail, and a summit sandwich made from yesterday's leftovers. Where are you escaping to nature today? 📷 by @dogwanderer  Featured pack from the Archeon Series #ospreypacks","Write a post about embracing nature escapes, featuring a scenic hike and a humorous take on summit snacks."
"Unwrap adventure this holiday season. Treat your friends, family & yourself with gifts for everyone on your list. Shop our holiday gift guide today at the link in our bio!  #ospreypacks #holiday #giftguide","Create a festive holiday post highlighting gift ideas and promotions for friends, family, and self."
"""Solitude is creativity's best friend, and solitude is refreshment for our souls."" - Naomi Judd 📷 by @backpackerbhav  Featured pack from the Skarab/Skimmer Series #ospreypacks #ospreyambassador #thegooddaysaremade","Write a post highlighting the importance of solitude for creativity and self-reflection, featuring Osprey packs."
"The next morning we packed up and headed South West to the park. I’d never seen terrain like this in Texas and I was born and raised here. The Santa Elena Canyons are truly like a mini Grand Canyon. We arrived, rolled up pants legs and started a 3 hour hike down the river. 📷 by: @coryt  Featured pack from the Archeon Series #ospreypacks",Write a travelogue-style post highlighting the Santa Elena Canyons' unique terrain and stunning scenery.
"""Autumn dresses up in gold; the richest season of the soul."" - Angie Weiland-Crosby  We're hanging on to what's left of fall. What adventures do you have planned this weekend? 🍁 📷 by: @maggiehsxoxo  Featured pack from the Talon/Tempest Series #ospreypacks #fallvibes","Write a poetic caption capturing the essence of fall, featuring a stunning photo of an autumnal landscape."
"""Every leaf speaks bliss to me, fluttering from the autumn tree."" - Emily Brontë 📷 by amira.silverman  Featured pack from the Talon/Tempest Series #ospreypacks #ospreypacksambassador #thegooddaysaremade","Write a poetic Instagram post inspired by Emily Brontë's quote, featuring a stunning autumn landscape."
@altbloom #ospreypacks,"Write a captivating Instagram post for @altbloom, highlighting Osprey Packs' durability and versatility."
"Today, we honor all of our veterans and thank them for their service. Osprey is proud to support @veterans_expeditions, a veteran-led nonprofit focused on empowering vets by providing leadership opportunities in the outdoors. Their work connects veterans and creates community — learn more and donate by visiting @veterans_expeditions  #ospreypacks #veteransday","Write a heartfelt tribute to veterans, highlighting Osprey's support for @veterans_expeditions."
"""You can't change who you are, but you can change what you have in your head, you can refresh what you're thinking about, you can put some fresh air in your brain."" - Ernesto Bertarelli 📷 by @theoriginal10cent  Featured pack from the Hikelite Series #ospreypacks",Write a motivational post highlighting the power of mental refreshment and the importance of positive thinking.
"“With its endlessly unpredictable fusion of alt-R&B and classic singer/songwriter pop, @altbloom offers the sonic equivalent of that purposeful escape: warmly textured and wonderfully unhurried.” - Hollywood Records  Tune in today at 4pm MST for a live acoustic set with Alt Bloom!  #concert #livemusic #altbloom #ospreypacks","Write a captivating post announcing Alt Bloom's live acoustic set, highlighting their unique sound and encouraging followers to tune in."
"""Leave it as it is. The ages have been at work on it and man can only mar it.""
—
West Texas is magic. It’s a trek to get here but worth it. The landscape is magical, the sunsets are stil and vast. The adventures are plentiful. So, who is ready to go on a new adventure? 📷 by: @coryt  Featured pack from the Archeon Series #ospreypacks","Write an Instagram post highlighting the beauty of West Texas, emphasizing its uniqueness and adventure opportunities."
"""We’ve started more hikes than we’ve finished recently and the transition has been slow, but we both know that it’ll be worth it. I thought I could dive in with him and I’m learning that it’s more of a slow, tip-toe into the proverbial waters rather than a father/son cannonball in.""

New on the blog, #OspreyAmbassador @knarles_gage shares the realities of fatherhood and ponders how to share his love for the outdoors with his and @malorie_gage's 6-month-old son, Finnley. Read the full post at the link in our bio. 📷 by @knarles_gage  Featured pack from the Arcane Series #ospreypacks","Write a reflective post about the challenges of sharing outdoor passions with a new family member, highlighting the importance of patience and gradual transition."
"“Are you sitting down?” I heard my friend say over the phone. “There’s been an accident.” Over the past months, I have thought of her accident, my relationship to risk, the choices we make in the mountains and why. The conclusion I have drawn and surprisingly found peace in is we don’t have control. As scary as the unknown can feel, there is also something freeing about realizing that no matter how hard we try to control, manipulate, and organize a situation, ultimately there are unknowns.  #ospreyathlete @kyleektoth share her thoughts on risk in the backcountry and how she has embraced the in-between and unknown. Read her full post via link in bio 📷 by: @kyleektoth  Featured pack from the Kamber/Kresta Series #ospreypacks #ospreyambassador",Write a reflective post about embracing the unknown and finding peace in the face of risk and uncertainty.
"While nearby National Parks like Zion, Bryce, Arches, Capitol Reef, and Canyonlands get most the fanfare, southern Utah’s true hidden gem is Escalante, a weird, massive, and desolate landscape. Bordered by the aforementioned parks, the Colorado River on the east and Lake Powell to the south, the federally designated National Monument sprawls over hundreds of miles of rocks, sand, cactus, and the occasional oasis. 
—
To see the area, our group of 8 decided to tackle a 4-day bikepacking trip around the southern Utah desert. We would travel on a mix of roads–everything from rough gravel to paved highways, and try to camp near water sources so that we’d be able to cook each night. We ended up getting a bit more than we bargained for–280 miles in the desert sun will make your mind spin–but through the process and long days in the saddle, we learned something about ourselves and each other. 
—
Click the link in bio to read the full the story of our journey, told through photographs of the trip.  📷 by: @andrewfitts  #ospreypacks #bikepacking","Write a captivating Instagram post about a 4-day bikepacking trip in Escalante, Utah, highlighting the challenges and discoveries made in the desert landscape."
"""You can waste your lives drawing lines. Or you can live your life crossing them."" - Shonda Rhimes 📷 by @brittney_mesica  Featured pack from the Daylite Series #ospreypacks",Write a motivational post highlighting the importance of taking risks and breaking free from constraints.
"He walked into my heart like he always belonoged there, took down my walls and lit my soul on fire. 🔥 📷 by: @knarles_gage  Featured pack from the Arcane Series #ospreypacks #fallvibes🍁","Write a poetic caption capturing the essence of a romantic connection, highlighting the feeling of belonging and passion."
"Wherever you go, go with all of your heart ❤️ “Exploring West Texas’s nature has always been on my list. I fell in-love with Marfa in 2014 and have always ventured back over the years but never to Big Bend National Park or it’s surrounding areas. Let’s say, we had fun!” - Cory Tran
—
Follow along as @coryt takes over our IG for the next two days. We'll explore Marfa, Austin, El Cosmico and the mountains around Big Bend. If you’ve never been it is a MUST. What location is on your future travel bucket list?
 📷 by: @coryt  Featured pack from the Archeon Series #ospreypacks #newadventures #thegooddaysaremade #exploremore","Write a captivating travel post highlighting Cory Tran's adventure in West Texas, featuring stunning visuals and a sense of adventure."
"Don't count the days, make the days count! 📷 by: @kamakshi.pal  Featured pack from the Stratos/Sirrus Series #ospreypacks #thegooddaysaremade #snowyviews","Write a motivational post highlighting the importance of making the most of every day, featuring a scenic snowy view."
Let's sit quiety and listen to the secrets the rain wants to tell us. 📷 by: @mo_donnell94  Featured pack from the Farpoint/Fairview Series #ospreypacks #rainydays,"Write a contemplative post about the secrets the rain whispers, featuring a photo of an Osprey pack in a rainy setting."
"Some of us are drawn to the mountains the way the moon draws the tide. Both the great forests and mountains live in my bones. They have taught me, humbled me, purified me, and changed me. - Joan Halifax 📷 by: @keithcradlephd + @acjphoto  Featured pack from the Aether/Ariel AG Series #ospreypacks #nature","Write a poetic reflection on the transformative power of nature, inspired by Joan Halifax's quote."
Let's take our hearts for a walk in the woods and listen to the magic whispers of old trees 🌲🗻 📷 by: @cristian_rays  Featured pack from the Farpoint/Fairview Series #ospreypacks,"Write an Instagram post capturing the serenity of nature, featuring a hiker and a pack from the Farpoint/Fairview Series."
"A new season is here. A perfect opportunity to do something new, something bold, something beautiful. 📷: @ospreyeurope  Featured pack from the Archeon Series #ospreypacks #seasonschange",Write a captivating caption highlighting the theme of new beginnings and bold adventures.
'Tis the season to be spooky! 🕸👻🎃 📷 by: @nateintheclouds  Featured pack from the Aether/Ariel Series #ospreypacks #happyhalloween #spooky,Write a hauntingly beautiful caption for a spooky Halloween post featuring an Osprey pack.
Radiate joy from the inside out ☺️ 📷 by: @nikki_gagnon03  Featured pack from the Daylite Series  #ospreypacks #thegooddaysaremade,Write a vibrant Instagram post highlighting the joy and beauty of the Daylite Series pack.
"Life is meant for spectacular adventures. Let your feet wander, your eyes marvel, and your soul ignite. 📷 by: @mariolazoladz  Featured pack from the Farpoint/Fairview Series  #ospreypacks #winterhiking❄️",Create an inspiring post highlighting the thrill of winter hiking with Osprey packs.
"We've hand-picked the best gear to ski the resort or backcountry in style this winter. Get kitted with cozy headwear from @shitthatiknit, a light and versatile bag from @ospreypacks, functional & fitting outerwear from @trewgear, warm boots from @forsakeco ,and a pair of award-winning women designed skis from @renounskis. It's all the gear you need to get out there this winter, on and off the mountain.
—
Click the link in our bio to signup for your chance to win the ultimate winter kit. Winner selected via email November 12th, 2020  Featured pack from the Soeldon/Sopris Series #ospreypacks #backcountryskiing #winteriscoming #giveaway","Create an Instagram post showcasing the ultimate winter gear kit for skiing, highlighting top brands and products."
"At Osprey, we love the outdoors - it's in our DNA. And although our travel plans have been put on hold for now, we can still find so much inspiration from the adventures right in our own backyard. So whether you live near a national park or have a local trail you love to visit, we’ve got you covered with our #BeyondTheBackyard prize pack! We've partnered with some of our favorite brands to give away THREE awesome prize packs. 
—
Here's how to enter:
1. Follow @hydroflask, @smithoptics, @gorumpl, @ospreypacks, @chacofootwear, @coalheadwear & @sunbum
2. Tag at least one friend that you want to use the new gear with in the comments.
3. Hit the link in our bio to enter. 
—
Contest ends at midnight November 9th. U.S only 18+, See official rules at https://bit.ly/3jHmAuf. Good luck!  #ospreypacks #giveaway #backyard",Create an Instagram post announcing a #BeyondTheBackyard prize pack giveaway with Osprey Packs and partner brands.
Shoot for the stars! Catch the replay of our IG Live with #ospreyambassadors Bhavana and Shashank as they talk about how to shoot night #photography and what bags they use to carry their camera equipment. 📷@shashankvijayphotos + @backpackerbhav  Featured pack from the Porter Series #ospreypacks #nightphotography #shootforthestars,Write a post highlighting the night photography tips and gear recommendations from Osprey ambassadors Bhavana and Shashank.
“Meet me in the middle of your story when the soul is worn but wise.” We caught up with our friends at @ironridg.trailers for a backyard adventure. Check out our story for the highlights and visit their new website to start customizing your next adventure! 📷 by: @danholzphoto  #ospreypacks #offroading #jeeplife,"Write a post highlighting a backyard adventure with friends, featuring off-roading and customization options."
"Wherever you go, go with all your ❤️ 📷 by: @lindsay.a.chesser + @miles2239 + @nicboerio  #ospreypacks #thegooddaysaremade #newadventures #love","Write a post celebrating adventure and love, featuring a scenic outdoor shot."
"Get out of your head and get into your heart. Think less, feel more. 📷 by: @mrdavidwatkins  Featured pack from the Poco AG Series  #ospreypacks #wildmoments","Write a motivational post encouraging readers to prioritize emotions over thoughts, featuring a stunning outdoor photo."
Tongue out Tuesday! 🐶 📷 by: @haley.gavin  Featured pack from the Talon/Tempest series  #ospreypacks #tongueouttuesday #dogsofinstagram,"Write a playful caption for a dog's tongue-out photo, highlighting the featured pack and #TongueOutTuesday."
"“Vulnerability sounds like truth and feels like courage. Truth and courage aren’t always comfortable, but they’re never weakness.” - Brené Brown 📷 by: @midwestcanines + @5280coloradodogs  #ospreypacks #thegooddaysaremade #vulnerability","Write a motivational post quoting Brené Brown, featuring a photo of dogs, and highlighting the importance of vulnerability."
"Summer has come to an end but your adventure shouldn’t. That is why we have partnered with @roofnest, @solostove, and @rovrproducts to give away everything you need to keep the adventure going all year long. With over $2500 worth of free gear, you’ll be the king or queen of the campground.  Click the link in our bio to enter!  Featured pack from the Talon/Tempest + Transporter Series #ospreypacks #giveaway","Write an engaging post announcing a summer adventure giveaway with @roofnest, @solostove, and @rovrproducts."
"""During cancer, I was no longer in control of my body–I was pumped with chemicals and I moved from treatment to treatment. For some of my treatments, I was in my hospital room for days without being able to go outside or walk untethered by crutches and an IV pole. Being outside [through First Descents] and being active was suddenly a way that I could regain control of my body and feel strong for the first time since my diagnosis.” - Angelina Mangiardi
—
Click the link in our bio to learn how Angelina overcame cancer through the power of the outdoors.  #ospreypacks #cancer #cancersurvivor #poweroftheoutdoors #naturetherapy",Write a personal story of regaining control over body during cancer treatment through outdoor activities.
"We are excited to introduce you to QuadPay, a simple way to buy what you want on osprey.com and pay over four interest-free installments. Simply fill up your cart with an order over $75 and choose QuadPay as your payment method at checkout. Provide a bit of information, get approved in seconds and QuadPay will automatically split the amount into four payments every two weeks. Happy shopping! 📷 by: @thecolorbrown  Featured pack from the Arcane Series #ospreypacks","Write a post introducing QuadPay, a simple payment method for osprey.com, with details on how to use it."
"“Let me ask you something,” one hand resting on the trekking pole that rested on his hip. “Why do you backpack? I mean, who—” he trailed off.
—
When I first hiked a section of Nüümü Poyo (the “people’s trail” in the Paiute language, also called the John Muir Trail) in 2014, I had just read Wild by Cheryl Strayed. A few years before, I’d read A Walk in the Woods by Bill Bryson. I’d read John Krakauer’s Into the Wild. I’d read Alfred Lansing’s Endurance. As a kid, I’d read and re-read My Side of the Mountain by Jean Craighead George. In 2014, these were my teachers: the people who ushered me into an idea of nature that I found both compelling and exclusive. I loved these books, and they confused me. I knew in my body that land and race and politics and nature are all lyrics to the same song, but it felt like every time these writers talked about going outside, they didn’t say boo about how white their version of outside was.
—
And I return the question to anyone who spends time outside: Who taught you how to be outside? Who teaches you? If your answer is a list of white men or women, know that your understanding of nature is incomplete and impoverished. Read Black, Indigenous, and Asian writers. Support organizations like @indigenouswomenhike , @outdoorafro, @wilddiversity, or @queernature that are working to shift narratives about the outdoors. Go outside, not as an escape from the world and its people, but as a way to connect with all of life more deeply.  Click the link in our bio to read Endria's compelling piece about going to nature to be in the world, not escape it.   📷 by: @endriaraa + @narinda___ |#ospreypacks #nature #natureheals","Write a reflective post about the intersection of nature and social justice, inspired by personal hiking experiences."
Some of the best memories are make in hiking boots! 🏔🥾 📷 by: @adabalphoto  Featured pack from the Poco AG Series #ospreypacks,"Write a caption highlighting the joy of hiking and the importance of reliable gear, featuring @adabalphoto's scenic shot."
Stay close to people who feel like sunshine ☀️ 📷: @jennastrubhar15  Featured pack from the Talon/Tempest Series #ospreypacks,Write a warm and uplifting caption highlighting the joy of surrounding yourself with positive people.
Tips for taking good night photos and what Osprey Packs we use with @backpackerbhav + @shashankvijayphotos 📷,Write an Instagram post sharing expert tips for taking stunning night photos and highlighting preferred Osprey Packs.
"""Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from.""- Terry Tempest Williams 📷: @mattcnewey + @oliver.hagemeyer  Featured pack from the Aether/Ariel Series #ospreypacks #thegooddaysaremade","Write a poetic caption highlighting the connection between wildness and humanity, inspired by Terry Tempest Williams' quote."
Running towards a weekend of adventure! 📷 by: @tyaxadventures + @bobbidouglas  Featured pack from the Duro/Dyna series  #ospreypacks #weekendvibes #friyay #adventuretime #mountainview #mountaintime,Write a post announcing a weekend adventure with stunning mountain views and Osprey pack features.
We’re halfway to the weekend! What is one luxury item you bring with you on a weekend getaway? Tell us in the comments! 📷: @nateintheclouds  Featured packs from the Aether/Ariel series  #ospreypacks #thegooddaysaremade #weekendvibes,Write a weekend getaway-themed post asking followers about their luxury item choices and featuring Aether/Ariel series packs.
